timestamp,no2,station
2019-02-06 18:00:00+00:00,59,VKCL
2019-02-06 18:00:00+00:00,55,CHOR
2019-02-06 18:00:00+00:00,56,VKTU
2019-02-06 19:00:00+00:00,35,CHOR
2019-02-06 19:00:00+00:00,54,VKTU
2019-02-06 19:00:00+00:00,43,RODE
2019-02-06 19:00:00+00:00,54,VKCL
2019-02-06 20:00:00+00:00,37,RODE
2019-02-06 20:00:00+00:00,48,VKCL
2019-02-06 20:00:00+00:00,31,CHOR
2019-02-06 20:00:00+00:00,52,VKTU
2019-02-06 21:00:00+00:00,45,CHOR
2019-02-06 21:00:00+00:00,44,VKTU
2019-02-06 21:00:00+00:00,31,RODE
2019-02-06 21:00:00+00:00,43,VKCL
2019-02-07 00:00:00+00:00,32,RODE
2019-02-07 00:00:00+00:00,35,VKTU
2019-02-07 00:00:00+00:00,41,VKCL
2019-02-07 01:00:00+00:00,36,VKTU
2019-02-07 01:00:00+00:00,30,CHOR
2019-02-07 01:00:00+00:00,32,VKCL
2019-02-07 02:00:00+00:00,34,RODE
2019-02-07 02:00:00+00:00,34,CHOR
2019-02-07 02:00:00+00:00,33,VKCL
2019-02-07 02:00:00+00:00,36,VKTU
2019-02-07 03:00:00+00:00,45,VKCL
2019-02-07 03:00:00+00:00,39,VKTU
2019-02-07 03:00:00+00:00,34,RODE
2019-02-07 03:00:00+00:00,36,CHOR
2019-02-07 04:00:00+00:00,31,RODE
2019-02-07 04:00:00+00:00,34,CHOR
2019-02-07 04:00:00+00:00,46,VKCL
2019-02-07 04:00:00+00:00,40,VKTU
2019-02-07 05:00:00+00:00,59,VKCL
2019-02-07 05:00:00+00:00,51,VKTU
2019-02-07 05:00:00+00:00,33,RODE
2019-02-07 05:00:00+00:00,42,CHOR
2019-02-07 06:00:00+00:00,36,RODE
2019-02-07 06:00:00+00:00,50,CHOR
2019-02-07 06:00:00+00:00,63,VKCL
2019-02-07 06:00:00+00:00,58,VKTU
2019-02-07 07:00:00+00:00,60,VKCL
2019-02-07 07:00:00+00:00,57,VKTU
2019-02-07 07:00:00+00:00,39,RODE
2019-02-07 07:00:00+00:00,49,CHOR
2019-02-07 08:00:00+00:00,28,RODE
2019-02-07 08:00:00+00:00,39,CHOR
2019-02-07 08:00:00+00:00,53,VKCL
2019-02-07 08:00:00+00:00,47,VKTU
2019-02-07 09:00:00+00:00,59,VKCL
2019-02-07 09:00:00+00:00,54,VKTU
2019-02-07 09:00:00+00:00,16,RODE
2019-02-07 09:00:00+00:00,12,CHOR
2019-02-07 10:00:00+00:00,14,RODE
2019-02-07 10:00:00+00:00,5,CHOR
2019-02-07 10:00:00+00:00,75,VKCL
2019-02-07 10:00:00+00:00,56,VKTU
2019-02-07 11:00:00+00:00,57,VKCL
2019-02-07 11:00:00+00:00,40,VKTU
2019-02-07 11:00:00+00:00,18,RODE
2019-02-07 11:00:00+00:00,5,CHOR
2019-02-07 12:00:00+00:00,13,RODE
2019-02-07 12:00:00+00:00,12,CHOR
2019-02-07 12:00:00+00:00,54,VKCL
2019-02-07 12:00:00+00:00,34,VKTU
2019-02-07 13:00:00+00:00,56,VKCL
2019-02-07 13:00:00+00:00,30,VKTU
2019-02-07 13:00:00+00:00,11,RODE
2019-02-07 13:00:00+00:00,13,CHOR
2019-02-07 14:00:00+00:00,17,RODE
2019-02-07 14:00:00+00:00,14,CHOR
2019-02-07 14:00:00+00:00,50,VKCL
2019-02-07 14:00:00+00:00,34,VKTU
2019-02-07 15:00:00+00:00,60,VKCL
2019-02-07 15:00:00+00:00,39,VKTU
2019-02-07 15:00:00+00:00,17,RODE
2019-02-07 15:00:00+00:00,14,CHOR
2019-02-07 16:00:00+00:00,17,RODE
2019-02-07 16:00:00+00:00,13,CHOR
2019-02-07 16:00:00+00:00,82,VKCL
2019-02-07 17:00:00+00:00,23,CHOR
2019-02-07 17:00:00+00:00,77,VKCL
2019-02-07 17:00:00+00:00,16,RODE
2019-02-07 17:00:00+00:00,55,VKTU
2019-02-07 18:00:00+00:00,13,RODE
2019-02-07 18:00:00+00:00,41,VKTU
2019-02-07 18:00:00+00:00,14,CHOR
2019-02-07 18:00:00+00:00,66,VKCL
2019-02-07 19:00:00+00:00,13,CHOR
2019-02-07 19:00:00+00:00,43,VKCL
2019-02-07 19:00:00+00:00,5,RODE
2019-02-07 19:00:00+00:00,31,VKTU
2019-02-07 20:00:00+00:00,11,RODE
2019-02-07 20:00:00+00:00,25,VKTU
2019-02-07 20:00:00+00:00,12,CHOR
2019-02-07 20:00:00+00:00,37,VKCL
2019-02-07 21:00:00+00:00,5,CHOR
2019-02-07 21:00:00+00:00,34,VKCL
2019-02-07 21:00:00+00:00,5,RODE
2019-02-07 21:00:00+00:00,27,VKTU
2019-02-08 00:00:00+00:00,5,RODE
2019-02-08 00:00:00+00:00,5,CHOR
2019-02-08 00:00:00+00:00,22,VKTU
2019-02-08 00:00:00+00:00,20,VKCL
2019-02-08 01:00:00+00:00,15,RODE
2019-02-08 01:00:00+00:00,14,CHOR
2019-02-08 01:00:00+00:00,26,VKTU
2019-02-08 01:00:00+00:00,26,VKCL
2019-02-08 02:00:00+00:00,17,VKTU
2019-02-08 02:00:00+00:00,14,CHOR
2019-02-08 02:00:00+00:00,19,VKCL
2019-02-08 03:00:00+00:00,11,CHOR
2019-02-08 03:00:00+00:00,20,VKCL
2019-02-08 03:00:00+00:00,19,RODE
2019-02-08 03:00:00+00:00,18,VKTU
2019-02-08 04:00:00+00:00,14,RODE
2019-02-08 04:00:00+00:00,21,VKTU
2019-02-08 04:00:00+00:00,18,CHOR
2019-02-08 04:00:00+00:00,35,VKCL
2019-02-08 05:00:00+00:00,30,CHOR
2019-02-08 05:00:00+00:00,50,VKCL
2019-02-08 05:00:00+00:00,21,RODE
2019-02-08 05:00:00+00:00,31,VKTU
2019-02-08 06:00:00+00:00,25,RODE
2019-02-08 06:00:00+00:00,35,VKTU
2019-02-08 06:00:00+00:00,38,CHOR
2019-02-08 06:00:00+00:00,59,VKCL
2019-02-08 07:00:00+00:00,30,CHOR
2019-02-08 07:00:00+00:00,62,VKCL
2019-02-08 07:00:00+00:00,32,RODE
2019-02-08 07:00:00+00:00,47,VKTU
2019-02-08 08:00:00+00:00,26,RODE
2019-02-08 08:00:00+00:00,38,VKTU
2019-02-08 08:00:00+00:00,20,CHOR
2019-02-08 08:00:00+00:00,39,VKCL
2019-02-08 09:00:00+00:00,17,CHOR
2019-02-08 09:00:00+00:00,47,VKCL
2019-02-08 09:00:00+00:00,20,RODE
2019-02-08 09:00:00+00:00,31,VKTU
2019-02-08 10:00:00+00:00,19,RODE
2019-02-08 10:00:00+00:00,30,VKTU
2019-02-08 10:00:00+00:00,15,CHOR
2019-02-08 10:00:00+00:00,47,VKCL
2019-02-08 11:00:00+00:00,14,CHOR
2019-02-08 11:00:00+00:00,38,VKCL
2019-02-08 11:00:00+00:00,15,RODE
2019-02-08 11:00:00+00:00,25,VKTU
2019-02-08 12:00:00+00:00,13,RODE
2019-02-08 12:00:00+00:00,28,VKTU
2019-02-08 12:00:00+00:00,17,CHOR
